n;fib;method;measure;value
12;144;binet;time;0
12;144;binet;oper;1
13;233;binet;time;0
13;233;binet;oper;1
14;377;binet;time;0
14;377;binet;oper;1
15;610;binet;time;0
15;610;binet;oper;1
16;987;binet;time;0
16;987;binet;oper;1
17;1597;binet;time;0
17;1597;binet;oper;1
18;2584;binet;time;0
18;2584;binet;oper;1
19;4181;binet;time;0
19;4181;binet;oper;1
20;6765;binet;time;0
20;6765;binet;oper;1
21;10946;binet;time;0
21;10946;binet;oper;1
22;17711;binet;time;0
22;17711;binet;oper;1
23;28657;binet;time;0
23;28657;binet;oper;1
24;46368;binet;time;0
24;46368;binet;oper;1
25;75025;binet;time;0
25;75025;binet;oper;1
26;121393;binet;time;0
26;121393;binet;oper;1
27;196418;binet;time;0
27;196418;binet;oper;1
28;317811;binet;time;0
28;317811;binet;oper;1
29;514229;binet;time;0
29;514229;binet;oper;1
30;832040;binet;time;0
30;832040;binet;oper;1
31;1346269;binet;time;0
31;1346269;binet;oper;1
32;2178309;binet;time;0
32;2178309;binet;oper;1
33;3524578;binet;time;0
33;3524578;binet;oper;1
34;5702887;binet;time;0
34;5702887;binet;oper;1
35;9227465;binet;time;0
35;9227465;binet;oper;1
36;14930352;binet;time;0
36;14930352;binet;oper;1
37;24157817;binet;time;0
37;24157817;binet;oper;1
38;39088169;binet;time;0
38;39088169;binet;oper;1
39;63245986;binet;time;0
39;63245986;binet;oper;1
40;102334155;binet;time;0
40;102334155;binet;oper;1
41;165580141;binet;time;0
41;165580141;binet;oper;1
42;267914296;binet;time;0
42;267914296;binet;oper;1
43;433494437;binet;time;0
43;433494437;binet;oper;1
44;701408733;binet;time;0
44;701408733;binet;oper;1
0;0;array;time;0
0;0;array;oper;1
1;1;array;time;0
1;1;array;oper;1
2;1;array;time;0
2;1;array;oper;3
3;2;array;time;0
3;2;array;oper;4
4;3;array;time;0
4;3;array;oper;5
5;5;array;time;0
5;5;array;oper;6
6;8;array;time;0
6;8;array;oper;7
7;13;array;time;0
7;13;array;oper;8
8;21;array;time;0
8;21;array;oper;9
9;34;array;time;0
9;34;array;oper;10
10;55;array;time;0
10;55;array;oper;11
11;89;array;time;0
11;89;array;oper;12
12;144;array;time;0
12;144;array;oper;13
13;233;array;time;0
13;233;array;oper;14
14;377;array;time;0
14;377;array;oper;15
15;610;array;time;0
15;610;array;oper;16
16;987;array;time;0
16;987;array;oper;17
17;1597;array;time;0
17;1597;array;oper;18
18;2584;array;time;0
18;2584;array;oper;19
19;4181;array;time;0
19;4181;array;oper;20
20;6765;array;time;0
20;6765;array;oper;21
21;10946;array;time;0
21;10946;array;oper;22
22;17711;array;time;0
22;17711;array;oper;23
23;28657;array;time;0
23;28657;array;oper;24
24;46368;array;time;0
24;46368;array;oper;25
25;75025;array;time;0
25;75025;array;oper;26
26;121393;array;time;0
26;121393;array;oper;27
27;196418;array;time;0
27;196418;array;oper;28
28;317811;array;time;0
28;317811;array;oper;29
29;514229;array;time;0
29;514229;array;oper;30
30;832040;array;time;0
30;832040;array;oper;31
31;1346269;array;time;0
31;1346269;array;oper;32
32;2178309;array;time;0
32;2178309;array;oper;33
33;3524578;array;time;0
33;3524578;array;oper;34
34;5702887;array;time;0
